observation_id,case_id,system_id,replicate,lifecycle,outcome,strict_accepted,evaluator_strict_accepted,candidate_produced,generation_completed,cost_usd,generation_duration_seconds
claude-sonnet-reviewed-reservation-ledger-2,reservation-ledger,claude-sonnet-reviewed,2,completed,quality_failed,false,false,true,true,0.32,96
claude-sonnet-reviewed-discount-policy-1,discount-policy,claude-sonnet-reviewed,1,completed,accepted,true,true,true,true,0.32,96
claude-sonnet-reviewed-discount-policy-2,discount-policy,claude-sonnet-reviewed,2,completed,quality_failed,false,false,true,true,0.32,96
gemini-flash-direct-bounded-counter-1,bounded-counter,gemini-flash-direct,1,completed,accepted,true,true,true,true,0.07,44
gemini-flash-direct-bounded-counter-2,bounded-counter,gemini-flash-direct,2,completed,accepted,true,true,true,true,0.07,44
gemini-flash-direct-library-catalog-1,library-catalog,gemini-flash-direct,1,completed,accepted,true,true,true,true,0.07,44
gemini-flash-direct-library-catalog-2,library-catalog,gemini-flash-direct,2,completed,quality_failed,false,false,true,true,0.07,44
gemini-flash-direct-temperature-series-1,temperature-series,gemini-flash-direct,1,completed,accepted,true,true,true,true,0.07,44
gemini-flash-direct-temperature-series-2,temperature-series,gemini-flash-direct,2,completed,quality_failed,false,false,true,true,0.07,44
gemini-flash-direct-route-planner-1,route-planner,gemini-flash-direct,1,completed,accepted,true,true,true,true,0.07,44
gemini-flash-direct-route-planner-2,route-planner,gemini-flash-direct,2,completed,quality_failed,false,false,true,true,0.07,44
gemini-flash-direct-reservation-ledger-1,reservation-ledger,gemini-flash-direct,1,completed,accepted,true,true,true,true,0.07,44
gemini-flash-direct-reservation-ledger-2,reservation-ledger,gemini-flash-direct,2,completed,quality_failed,false,false,true,true,0.07,44
gemini-flash-direct-discount-policy-1,discount-policy,gemini-flash-direct,1,completed,accepted,true,true,true,true,0.07,44
gemini-flash-direct-discount-policy-2,discount-policy,gemini-flash-direct,2,completed,quality_failed,false,false,true,true,0.07,44
gemini-flash-reviewed-bounded-counter-1,bounded-counter,gemini-flash-reviewed,1,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-bounded-counter-2,bounded-counter,gemini-flash-reviewed,2,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-library-catalog-1,library-catalog,gemini-flash-reviewed,1,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-library-catalog-2,library-catalog,gemini-flash-reviewed,2,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-temperature-series-1,temperature-series,gemini-flash-reviewed,1,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-temperature-series-2,temperature-series,gemini-flash-reviewed,2,completed,quality_failed,false,false,true,true,0.1,61
gemini-flash-reviewed-route-planner-1,route-planner,gemini-flash-reviewed,1,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-route-planner-2,route-planner,gemini-flash-reviewed,2,completed,quality_failed,false,false,true,true,0.1,61
gemini-flash-reviewed-reservation-ledger-1,reservation-ledger,gemini-flash-reviewed,1,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-reservation-ledger-2,reservation-ledger,gemini-flash-reviewed,2,completed,quality_failed,false,false,true,true,0.1,61
gemini-flash-reviewed-discount-policy-1,discount-policy,gemini-flash-reviewed,1,completed,accepted,true,true,true,true,0.1,61
gemini-flash-reviewed-discount-policy-2,discount-policy,gemini-flash-reviewed,2,completed,quality_failed,false,false,true,true,0.1,61
deepseek-direct-bounded-counter-1,bounded-counter,deepseek-direct,1,completed,accepted,true,true,true,true,0.045,38
deepseek-direct-bounded-counter-2,bounded-counter,deepseek-direct,2,completed,quality_failed,false,false,true,true,0.045,38
deepseek-direct-library-catalog-1,library-catalog,deepseek-direct,1,completed,accepted,true,true,true,true,0.045,38
deepseek-direct-library-catalog-2,library-catalog,deepseek-direct,2,completed,quality_failed,false,false,true,true,0.045,38
deepseek-direct-temperature-series-1,temperature-series,deepseek-direct,1,completed,accepted,true,true,true,true,0.045,38
deepseek-direct-temperature-series-2,temperature-series,deepseek-direct,2,completed,quality_failed,false,false,true,true,0.045,38
deepseek-direct-route-planner-1,route-planner,deepseek-direct,1,completed,accepted,true,true,true,true,0.045,38
deepseek-direct-route-planner-2,route-planner,deepseek-direct,2,completed,quality_failed,false,false,true,true,0.045,38
deepseek-direct-reservation-ledger-1,reservation-ledger,deepseek-direct,1,completed,accepted,true,true,true,true,0.045,38
deepseek-direct-reservation-ledger-2,reservation-ledger,deepseek-direct,2,completed,quality_failed,false,false,true,true,0.045,38
deepseek-direct-discount-policy-1,discount-policy,deepseek-direct,1,completed,accepted,true,true,true,true,0.045,38
deepseek-direct-discount-policy-2,discount-policy,deepseek-direct,2,completed,quality_failed,false,false,true,true,0.045,38
deepseek-reviewed-bounded-counter-1,bounded-counter,deepseek-reviewed,1,completed,accepted,true,true,true,true,0.065,54
deepseek-reviewed-bounded-counter-2,bounded-counter,deepseek-reviewed,2,completed,accepted,true,true,true,true,0.065,54
deepseek-reviewed-library-catalog-1,library-catalog,deepseek-reviewed,1,completed,accepted,true,true,true,true,0.065,54
deepseek-reviewed-library-catalog-2,library-catalog,deepseek-reviewed,2,completed,quality_failed,false,false,true,true,0.065,54
deepseek-reviewed-temperature-series-1,temperature-series,deepseek-reviewed,1,completed,accepted,true,true,true,true,0.065,54
deepseek-reviewed-temperature-series-2,temperature-series,deepseek-reviewed,2,completed,quality_failed,false,false,true,true,0.065,54
deepseek-reviewed-route-planner-1,route-planner,deepseek-reviewed,1,completed,accepted,true,true,true,true,0.065,54
deepseek-reviewed-route-planner-2,route-planner,deepseek-reviewed,2,completed,quality_failed,false,false,true,true,0.065,54
deepseek-reviewed-reservation-ledger-1,reservation-ledger,deepseek-reviewed,1,completed,accepted,true,true,true,true,0.065,54
deepseek-reviewed-reservation-ledger-2,reservation-ledger,deepseek-reviewed,2,completed,quality_failed,false,false,true,true,0.065,54
deepseek-reviewed-discount-policy-1,discount-policy,deepseek-reviewed,1,completed,accepted,true,true,true,true,0.065,54
deepseek-reviewed-discount-policy-2,discount-policy,deepseek-reviewed,2,completed,quality_failed,false,false,true,true,0.065,54
mistral-direct-bounded-counter-1,bounded-counter,mistral-direct,1,completed,accepted,true,true,true,true,0.09,49
mistral-direct-bounded-counter-2,bounded-counter,mistral-direct,2,completed,quality_failed,false,false,true,true,0.09,49
mistral-direct-library-catalog-1,library-catalog,mistral-direct,1,completed,accepted,true,true,true,true,0.09,49
mistral-direct-library-catalog-2,library-catalog,mistral-direct,2,completed,quality_failed,false,false,true,true,0.09,49
mistral-direct-temperature-series-1,temperature-series,mistral-direct,1,completed,accepted,true,true,true,true,0.09,49
mistral-direct-temperature-series-2,temperature-series,mistral-direct,2,completed,quality_failed,false,false,true,true,0.09,49
mistral-direct-route-planner-1,route-planner,mistral-direct,1,completed,accepted,true,true,true,true,0.09,49
mistral-direct-route-planner-2,route-planner,mistral-direct,2,completed,quality_failed,false,false,true,true,0.09,49
mistral-direct-reservation-ledger-1,reservation-ledger,mistral-direct,1,completed,accepted,true,true,true,true,0.09,49
mistral-direct-reservation-ledger-2,reservation-ledger,mistral-direct,2,completed,quality_failed,false,false,true,true,0.09,49
mistral-direct-discount-policy-1,discount-policy,mistral-direct,1,completed,accepted,true,true,true,true,0.09,49
mistral-direct-discount-policy-2,discount-policy,mistral-direct,2,completed,quality_failed,false,false,true,true,0.09,49
mistral-reviewed-bounded-counter-1,bounded-counter,mistral-reviewed,1,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-bounded-counter-2,bounded-counter,mistral-reviewed,2,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-library-catalog-1,library-catalog,mistral-reviewed,1,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-library-catalog-2,library-catalog,mistral-reviewed,2,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-temperature-series-1,temperature-series,mistral-reviewed,1,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-temperature-series-2,temperature-series,mistral-reviewed,2,completed,quality_failed,false,false,true,true,0.14,68
mistral-reviewed-route-planner-1,route-planner,mistral-reviewed,1,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-route-planner-2,route-planner,mistral-reviewed,2,completed,quality_failed,false,false,true,true,0.14,68
mistral-reviewed-reservation-ledger-1,reservation-ledger,mistral-reviewed,1,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-reservation-ledger-2,reservation-ledger,mistral-reviewed,2,completed,quality_failed,false,false,true,true,0.14,68
mistral-reviewed-discount-policy-1,discount-policy,mistral-reviewed,1,completed,accepted,true,true,true,true,0.14,68
mistral-reviewed-discount-policy-2,discount-policy,mistral-reviewed,2,completed,quality_failed,false,false,true,true,0.14,68
qwen-direct-bounded-counter-1,bounded-counter,qwen-direct,1,completed,accepted,true,true,true,true,0.12,57
qwen-direct-bounded-counter-2,bounded-counter,qwen-direct,2,completed,accepted,true,true,true,true,0.12,57
qwen-direct-library-catalog-1,library-catalog,qwen-direct,1,completed,accepted,true,true,true,true,0.12,57
qwen-direct-library-catalog-2,library-catalog,qwen-direct,2,completed,quality_failed,false,false,true,true,0.12,57
qwen-direct-temperature-series-1,temperature-series,qwen-direct,1,completed,accepted,true,true,true,true,0.12,57
qwen-direct-temperature-series-2,temperature-series,qwen-direct,2,completed,quality_failed,false,false,true,true,0.12,57
qwen-direct-route-planner-1,route-planner,qwen-direct,1,completed,accepted,true,true,true,true,0.12,57
qwen-direct-route-planner-2,route-planner,qwen-direct,2,completed,quality_failed,false,false,true,true,0.12,57
qwen-direct-reservation-ledger-1,reservation-ledger,qwen-direct,1,completed,accepted,true,true,true,true,0.12,57
qwen-direct-reservation-ledger-2,reservation-ledger,qwen-direct,2,completed,quality_failed,false,false,true,true,0.12,57
qwen-direct-discount-policy-1,discount-policy,qwen-direct,1,completed,accepted,true,true,true,true,0.12,57
qwen-direct-discount-policy-2,discount-policy,qwen-direct,2,completed,quality_failed,false,false,true,true,0.12,57
qwen-reviewed-bounded-counter-1,bounded-counter,qwen-reviewed,1,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-bounded-counter-2,bounded-counter,qwen-reviewed,2,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-library-catalog-1,library-catalog,qwen-reviewed,1,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-library-catalog-2,library-catalog,qwen-reviewed,2,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-temperature-series-1,temperature-series,qwen-reviewed,1,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-temperature-series-2,temperature-series,qwen-reviewed,2,completed,quality_failed,false,false,true,true,0.17,79
qwen-reviewed-route-planner-1,route-planner,qwen-reviewed,1,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-route-planner-2,route-planner,qwen-reviewed,2,completed,quality_failed,false,false,true,true,0.17,79
qwen-reviewed-reservation-ledger-1,reservation-ledger,qwen-reviewed,1,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-reservation-ledger-2,reservation-ledger,qwen-reviewed,2,completed,quality_failed,false,false,true,true,0.17,79
qwen-reviewed-discount-policy-1,discount-policy,qwen-reviewed,1,completed,accepted,true,true,true,true,0.17,79
qwen-reviewed-discount-policy-2,discount-policy,qwen-reviewed,2,completed,quality_failed,false,false,true,true,0.17,79
